cluster_id,theta_polarity_score,relevance_r_ratio,r_pos_mean,r_neg_mean,r_ctrl_mean,pos_theta_deviation_from_target,neg_theta_deviation_from_target,circ_std_theta_pos,circ_std_theta_neg,theta_separation_abs_diff,num_bases_in_cluster,basis_type_from_filename,bmeta_gen_method_selected,bmeta_concept,bmeta_style,exemplar_basis_name_A_first,exemplar_basis_name_B_metric,perm_null_mean_A_first,perm_null_mean_B_metric,perm_null_std_A_first,perm_null_std_B_metric,theta_polarity_p_value_A_first,theta_polarity_p_value_B_metric,pval_A_first_bonferroni,reject_A_first_bonferroni,pval_A_first_fdr_bh,reject_A_first_fdr_bh,pval_B_metric_bonferroni,reject_B_metric_bonferroni,pval_B_metric_fdr_bh,reject_B_metric_fdr_bh,composite_score_cluster
273,0.9848,1.1363,0.2587,0.2730,0.2340,2.3227,0.4099,1.3732,1.3718,177.2674,1,DRND_Cont_N_NonHumanMix_R,diff_AB_rand_ortho_u2,NonHumanMix,R,DRND_Cont_N_NonHumanMix_R_L11_v2.npz,DRND_Cont_N_NonHumanMix_R_L11_v2.npz,0.4863,0.4658,0.4909,0.4893,0.4625,0.4296,1.0000,False,1.0000,False,1.0000,False,1.0000,False,0.2975
33,0.4900,1.1131,0.5216,0.5453,0.4793,35.4238,57.3423,2.4721,1.6294,88.1981,2,Cont_N_Conrandm_R,diff_AB_mean_AB_ortho_u2,Conrandm,R,Cont_N_Conrandm_R_L11_v2.npz,Cont_N_Conrandm_R_L11_v2.npz,0.4915,0.4777,0.4879,0.4874,0.4905,0.4765,1.0000,False,1.0000,False,1.0000,False,1.0000,False,0.2909
50,0.4826,1.0414,0.5016,0.5161,0.4886,128.3654,137.9993,4.6181,2.9050,86.8591,2,Cont_N_SingLangNonHumMix_S,diff_AB_mean_AB_ortho_u2,SingLangNonHumMix,S,Cont_N_SingLangNonHumMix_S_L11_v1.npz,Cont_N_SingLangNonHumMix_S_L11_v1.npz,0.6388,0.6110,0.4394,0.4468,0.6434,0.6134,1.0000,False,1.0000,False,1.0000,False,1.0000,False,0.2557
415,0.9783,1.2354,0.1525,0.1514,0.1230,4.8003,0.8969,3.3995,2.3511,176.0966,1,DRND_Cont_N_BadGramm_S,diff_AB_rand_ortho_u2,BadGramm,S,DRND_Cont_N_BadGramm_S_L11_v5.npz,DRND_Cont_N_BadGramm_S_L11_v5.npz,0.6257,0.6251,0.4526,0.4523,0.2677,0.2557,1.0000,False,1.0000,False,1.0000,False,1.0000,False,0.1836
81,0.9638,1.3581,0.1007,0.0801,0.0666,179.9898,173.4794,2.3847,2.9204,173.4896,1,DRND_CtrlPolar_FastSlow,diff_AB_rand_ortho_u2,CtrlPolar,FastSlow,DRND_CtrlPolar_FastSlow_L11_v2.npz,DRND_CtrlPolar_FastSlow_L11_v2.npz,0.5274,0.5046,0.4728,0.4732,0.4336,0.4176,1.0000,False,1.0000,False,1.0000,False,1.0000,False,0.1183
363,0.9706,1.1146,0.0921,0.0860,0.0799,176.3629,178.3488,4.2428,3.4486,174.7117,1,DRND_Cont_N_Overload_S,diff_AB_rand_ortho_u2,Overload,S,DRND_Cont_N_Overload_S_L11_v1.npz,DRND_Cont_N_Overload_S_L11_v1.npz,0.5208,0.5240,0.4609,0.4604,0.3297,0.3546,1.0000,False,1.0000,False,1.0000,False,1.0000,False,0.0963
86,0.4264,1.1966,0.0679,0.0539,0.0509,81.4704,175.2756,110.0585,0.0000,76.7460,1,DRND_Unrelated_HistoryBotany,diff_AB_rand_ortho_u2,Unrelated,HistoryBotany,DRND_Unrelated_HistoryBotany_L11_v3.npz,DRND_Unrelated_HistoryBotany_L11_v3.npz,0.5924,0.5740,0.2099,0.2023,1.0000,1.0000,1.0000,False,1.0000,False,1.0000,False,1.0000,False,0.0311
30,0.0455,1.0646,0.6045,0.6443,0.5865,50.9420,131.6411,6.6707,2.4204,8.1978,2,Cont_N_NonEng_R,diff_AB_mean_AB_ortho_u2,NonEng,R,Cont_N_NonEng_R_L11_v5.npz,Cont_N_NonEng_R_L11_v5.npz,0.3113,0.3030,0.4369,0.4323,0.3626,0.3616,1.0000,False,1.0000,False,1.0000,False,1.0000,False,0.0303
4,0.0434,1.0634,0.6200,0.6612,0.6024,48.5016,134.3186,5.9990,1.7482,7.8158,2,Cont_N_NonEng_S,diff_AB_mean_AB_ortho_u2,NonEng,S,Cont_N_NonEng_S_L11_v5.npz,DMEAN_Cont_N_NonEng_S_L11_v5.npz,0.6169,0.0077,0.4396,0.0038,0.8242,0.0010,1.0000,False,1.0000,False,0.3676,False,0.1838,False,0.0296
481,0.0200,1.1213,0.7253,0.7572,0.6611,97.1741,79.2304,4.1948,3.2080,3.5955,1,DMEAN_Safe_List,diff_AB_mean_AB_ortho_u2,Safe,List,DMEAN_Safe_List_L11_v3.npz,DMEAN_Safe_List_L11_v3.npz,0.0143,0.0140,0.0069,0.0068,0.2408,0.2118,1.0000,False,1.0000,False,1.0000,False,1.0000,False,0.0166
