COSINE,Safe_List_L11_v1.npz,Safe_List_L11_v4.npz,Safe_List_L11_v5.npz,Safe_Phrase_L11_v5.npz,Safe_Word_L11_v1.npz,Safe_Word_L11_v2.npz,Safe_Word_L11_v3.npz,Safe_Word_L11_v4.npz,Safe_Word_L11_v5.npz,,,,,,,,,,,,,,,,,,,,,
Safe_List_L11_v1.npz,0,0.2233850211,0.880323112,0.6312154531,0.6334636807,0.7639237046,0.7345787287,0.7071906328,0.7662026286,,,,,,,,,,,,,,,,,,,,,
Safe_List_L11_v4.npz,0.2233850211,0,0.9059218764,0.6208418012,0.6960250735,0.7635986209,0.7329759598,0.6868621111,0.7506287098,,,,,,,,,,,,,,,,,,,,,
Safe_List_L11_v5.npz,0.880323112,0.9059218764,0,0.901676774,0.9488335848,0.9954849482,0.8958121538,0.960547924,1.025991201,,,,,,,,,,,,,,,,,,,,,
Safe_Phrase_L11_v5.npz,0.6312154531,0.6208418012,0.901676774,0,0.6782044768,0.5782752037,0.5059086084,0.5296050906,0.4478066862,,,,,,,,,,,,,,,,,,,,,
Safe_Word_L11_v1.npz,0.6334636807,0.6960250735,0.9488335848,0.6782044768,0,0.8140178323,0.8477529883,0.8196607828,0.8468087316,,,,,,,,,,,,,,,,,,,,,
Safe_Word_L11_v2.npz,0.7639237046,0.7635986209,0.9954849482,0.5782752037,0.8140178323,0,0.5149330497,0.569314003,0.599105835,,,,,,,,,,,,,,,,,,,,,
Safe_Word_L11_v3.npz,0.7345787287,0.7329759598,0.8958121538,0.5059086084,0.8477529883,0.5149330497,0,0.556697607,0.4736838341,,,,,,,,,,,,,,,,,,,,,
Safe_Word_L11_v4.npz,0.7071906328,0.6868621111,0.960547924,0.5296050906,0.8196607828,0.569314003,0.556697607,0,0.5514474511,,,,,,,,,,,,,,,,,,,,,
Safe_Word_L11_v5.npz,0.7662026286,0.7506287098,1.025991201,0.4478066862,0.8468087316,0.599105835,0.4736838341,0.5514474511,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
